age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
[17.00-90.00],[ ?- Without-pay],77516,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Male],2174,0,40,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],83311,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,13,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],215646,[ 10th- Some-college],9,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],234721,[ 10th- Some-college],7,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Vietnam], <=50K
[17.00-90.00],[ ?- Without-pay],338409,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Wife,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Vietnam], <=50K
[17.00-90.00],[ ?- Without-pay],284582,[ 10th- Some-college],14,[ Divorced- Widowed],[ ?- Transport-moving], Wife,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],160187,[ 10th- Some-college],5,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,16,[ ?- Vietnam], <=50K
[17.00-90.00],[ ?- Without-pay],209642,[ 10th- Some-college],9,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,45,[ ?- Yugoslavia], >50K
[17.00-90.00],[ ?- Without-pay],45781,[ 10th- Some-college],14,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Male],14084,0,50,[ ?- Yugoslavia], >50K
[17.00-90.00],[ ?- Without-pay],159449,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],5178,0,40,[ ?- Yugoslavia], >50K
[17.00-90.00],[ ?- Without-pay],280464,[ 10th- Some-college],10,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,80,[ ?- Yugoslavia], >50K
[17.00-90.00],[ ?- Without-pay],141297,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Vietnam], >50K
[17.00-90.00],[ ?- Without-pay],122272,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Own-child,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,30,[ ?- Vietnam], <=50K
[17.00-90.00],[ ?- Without-pay],205019,[ 10th- Some-college],12,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,50,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],121772,[ 10th- Some-college],11,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Vietnam], >50K
[17.00-90.00],[ ?- Without-pay],245487,[ 10th- Some-college],4,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,45,[ ?- Vietnam], <=50K
[17.00-90.00],[ ?- Without-pay],176756,[ 10th- Some-college],9,[ Divorced- Widowed],[ ?- Transport-moving], Own-child,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,35,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],186824,[ 10th- Some-college],9,[ Divorced- Widowed],[ ?- Transport-moving], Unmarried,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Yugoslavia], <=50K
