age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17,[ ? -  State-gov],160118,[ 10th -  HS-grad],8, Never-married,[ ? -  Transport-moving], Not-in-family,[ Black -  White],[ Female -  Male],0,0,10,[ ? -  United-States], <=50K
17,[ ? -  State-gov],82041,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,40,[ ? -  United-States], <=50K
17,[ ? -  State-gov],275778,[ 10th -  HS-grad],5, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,25,[ ? -  United-States], <=50K
17,[ ? -  State-gov],179319,[ 10th -  HS-grad],6, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,30,[ ? -  United-States], <=50K
17,[ ? -  State-gov],277583,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,15,[ ? -  United-States], <=50K
17,[ ? -  State-gov],152652,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,25,[ ? -  United-States], <=50K
17,[ ? -  State-gov],117477,[ 10th -  HS-grad],6, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,40,[ ? -  United-States], <=50K
17,[ ? -  State-gov],116626,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,1719,18,[ ? -  United-States], <=50K
17,[ ? -  State-gov],194612,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,25,[ ? -  United-States], <=50K
17,[ ? -  State-gov],265657,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,25,[ ? -  United-States], <=50K
17,[ ? -  State-gov],375657,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,30,[ ? -  United-States], <=50K
17,[ ? -  State-gov],172050,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,16,[ ? -  United-States], <=50K
17,[ ? -  State-gov],127003,[ 10th -  HS-grad],5, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,40,[ ? -  United-States], <=50K
17,[ ? -  State-gov],64785,[ 10th -  HS-grad],6, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,30,[ ? -  United-States], <=50K
17,[ ? -  State-gov],173497,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,15,[ ? -  United-States], <=50K
17,[ ? -  State-gov],28031,[ 10th -  HS-grad],5, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,16,[ ? -  United-States], <=50K
17,[ ? -  State-gov],206010,[ 10th -  HS-grad],8, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,8,[ ? -  United-States], <=50K
17,[ ? -  State-gov],79682,[ 10th -  HS-grad],6, Never-married,[ ? -  Transport-moving], Other-relative,[ Black -  White],[ Female -  Male],0,0,30,[ ? -  United-States], <=50K
17,[ ? -  State-gov],286960,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,40,[ ? -  United-States], <=50K
17,[ ? -  State-gov],175587,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,30,[ ? -  United-States], <=50K
17,[ ? -  State-gov],277112,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,30,[ ? -  United-States], <=50K
17,[ ? -  State-gov],117906,[ 10th -  HS-grad],6, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,40,[ ? -  United-States], <=50K
17,[ ? -  State-gov],244602,[ 10th -  HS-grad],8, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,15,[ ? -  United-States], <=50K
17,[ ? -  State-gov],151141,[ 10th -  HS-grad],8, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,20,[ ? -  United-States], <=50K
17,[ ? -  State-gov],181608,[ 10th -  HS-grad],6, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,12,[ ? -  United-States], <=50K
17,[ ? -  State-gov],143331,[ 10th -  HS-grad],6, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,15,[ ? -  United-States], <=50K
17,[ ? -  State-gov],143331,[ 10th -  HS-grad],7, Never-married,[ ? -  Transport-moving], Own-child,[ Black -  White],[ Female -  Male],0,0,20,[ ? -  United-States], <=50K
