age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
[17 - 90],[ State-gov -  Self-emp-inc],77516,[ Bachelors -  HS-grad],13,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Not-in-family, White,[ Male -  Female],2174,0,40, United-States, <=50K
[17 - 90],[ State-gov -  Self-emp-inc],83311,[ Bachelors -  HS-grad],13,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Husband, White,[ Male -  Female],0,0,13, United-States, <=50K
[17 - 90],[ State-gov -  Self-emp-inc],215646,[ Bachelors -  HS-grad],9,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Not-in-family, White,[ Male -  Female],0,0,40, United-States, <=50K
[17 - 90],[ State-gov -  Self-emp-inc],234721,[ Bachelors -  HS-grad],7,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Husband, Black,[ Male -  Female],0,0,40, United-States, <=50K
[17 - 90],[ State-gov -  Self-emp-inc],338409,[ Bachelors -  HS-grad],13,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Wife, Black,[ Male -  Female],0,0,40, Cuba, <=50K
[17 - 90],[ State-gov -  Self-emp-inc],284582,[ Bachelors -  HS-grad],14,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Wife, White,[ Male -  Female],0,0,40, United-States, <=50K
[17 - 90],[ State-gov -  Self-emp-inc],160187,[ Bachelors -  HS-grad],5,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Not-in-family, Black,[ Male -  Female],0,0,16, Jamaica, <=50K
[17 - 90],[ State-gov -  Self-emp-inc],209642,[ Bachelors -  HS-grad],9,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Husband, White,[ Male -  Female],0,0,45, United-States, >50K
[17 - 90],[ State-gov -  Self-emp-inc],45781,[ Bachelors -  HS-grad],14,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Not-in-family, White,[ Male -  Female],14084,0,50, United-States, >50K
[17 - 90],[ State-gov -  Self-emp-inc],159449,[ Bachelors -  HS-grad],13,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Husband, White,[ Male -  Female],5178,0,40, United-States, >50K
[17 - 90],[ State-gov -  Self-emp-inc],280464,[ Bachelors -  HS-grad],10,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Husband, Black,[ Male -  Female],0,0,80, United-States, >50K
[17 - 90],[ State-gov -  Self-emp-inc],141297,[ Bachelors -  HS-grad],13,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Husband, Asian-Pac-Islander,[ Male -  Female],0,0,40, India, >50K
[17 - 90],[ State-gov -  Self-emp-inc],122272,[ Bachelors -  HS-grad],13,[ Never-married -  Married-civ-spouse],[ Adm-clerical -  Exec-managerial], Own-child, White,[ Male -  Female],0,0,30, United-States, <=50K
