k,NCP,GCP,GenIL,CAVG
2,1.0,100.0,100.0,1.0254787100025196
3,1.0,100.0,100.0,1.3444403154548081
4,1.0,100.0,100.0,1.0342078516071656
5,1.0,100.0,100.0,1.602805808515875
6,1.0,100.0,100.0,1.3356715070965626
7,1.0,100.0,100.0,1.1448612917970535
8,1.0,100.0,100.0,1.0544365284974093
9,1.0,100.0,100.0,1.773474945533769
10,1.0,100.0,100.0,1.5961274509803922
11,1.0,100.0,100.0,1.45102495543672
12,1.0,100.0,100.0,1.3301062091503268
13,1.0,100.0,100.0,1.227790346907994
14,1.0,100.0,100.0,1.1400910364145658
15,1.0,100.0,100.0,1.0640849673202615
16,1.0,100.0,100.0,1.109025885558583
17,0.875,87.5,87.5,1.9058238220661399
18,0.875,87.5,87.5,1.7999447208402433
19,0.875,87.5,87.5,1.705210788164441
20,0.875,87.5,87.5,1.619950248756219
21,0.875,87.5,87.5,1.5428097607202085
22,0.875,87.5,87.5,1.4726820443238353
23,0.875,87.5,87.5,1.408652390222799
24,0.875,87.5,87.5,1.3499585406301824
25,0.875,87.5,87.5,1.2959601990049752
26,0.875,87.5,87.5,1.2461155759663223
27,0.875,87.5,87.5,1.1999631472268288
28,0.875,87.5,87.5,1.1571073205401563
29,0.875,87.5,87.5,1.117207068107737
30,0.875,87.5,87.5,1.079966832504146
31,0.875,87.5,87.5,1.0451291927459476
32,0.875,87.5,87.5,1.292924078780178
33,0.875,87.5,87.5,2.1357077266168174
34,0.875,87.5,87.5,2.072892793481029
35,0.875,87.5,87.5,2.0136672850958566
36,0.875,87.5,87.5,1.9577320827320828
37,0.875,87.5,87.5,1.9048204048204047
38,0.875,87.5,87.5,1.8546935520619732
39,0.875,87.5,87.5,1.8071373071373071
40,0.875,87.5,87.5,1.7619588744588746
41,0.875,87.5,87.5,1.7189842677647555
42,0.875,87.5,87.5,1.6780560709132137
43,0.875,87.5,87.5,1.6390315111245344
44,0.875,87.5,87.5,1.601780794962613
45,0.875,87.5,87.5,1.5661856661856661
46,0.875,87.5,87.5,1.5321381517033692
47,0.875,87.5,87.5,1.499539467624574
48,0.875,87.5,87.5,1.4682990620490621
49,0.875,87.5,87.5,1.438333775068469
50,0.875,87.5,87.5,1.4095670995670995
