k,NCP,GCP,GenIL,CAVG
2,0.375,37.5,37.5,145.36160714285714
3,0.375,37.5,37.5,96.9077380952381
4,0.375,37.5,37.5,72.68080357142857
5,0.375,37.5,37.5,58.144642857142856
6,0.375,37.5,37.5,48.45386904761905
7,0.375,37.5,37.5,41.53188775510204
8,0.375,37.5,37.5,36.340401785714285
9,0.375,37.5,37.5,32.30257936507937
10,0.375,37.5,37.5,29.072321428571428
11,0.375,37.5,37.5,26.429383116883116
12,0.375,37.5,37.5,24.226934523809526
13,0.375,37.5,37.5,22.363324175824175
14,0.375,37.5,37.5,20.76594387755102
15,0.375,37.5,37.5,19.38154761904762
16,0.375,37.5,37.5,18.170200892857142
17,0.375,37.5,37.5,17.10136554621849
18,0.375,37.5,37.5,16.151289682539684
19,0.375,37.5,37.5,15.301221804511279
20,0.375,37.5,37.5,14.536160714285714
21,0.375,37.5,37.5,13.843962585034014
22,0.375,37.5,37.5,13.214691558441558
23,0.375,37.5,37.5,12.640139751552795
24,0.375,37.5,37.5,12.113467261904763
25,0.375,37.5,37.5,11.628928571428572
26,0.375,37.5,37.5,11.181662087912088
27,0.375,37.5,37.5,10.767526455026456
28,0.375,37.5,37.5,10.38297193877551
29,0.375,37.5,37.5,10.02493842364532
30,0.375,37.5,37.5,9.69077380952381
31,0.375,37.5,37.5,9.378168202764977
32,0.375,37.5,37.5,9.085100446428571
33,0.375,37.5,37.5,8.809794372294371
34,0.375,37.5,37.5,8.550682773109244
35,0.375,37.5,37.5,8.306377551020407
36,0.375,37.5,37.5,8.075644841269842
37,0.375,37.5,37.5,7.8573841698841695
38,0.375,37.5,37.5,7.6506109022556394
39,0.375,37.5,37.5,7.454441391941392
40,0.375,37.5,37.5,7.268080357142857
41,0.375,37.5,37.5,7.090810104529616
42,0.375,37.5,37.5,6.921981292517007
43,0.375,37.5,37.5,6.7610049833887045
44,0.375,37.5,37.5,6.607345779220779
45,0.375,37.5,37.5,6.460515873015873
46,0.375,37.5,37.5,6.320069875776397
47,0.375,37.5,37.5,6.185600303951368
48,0.375,37.5,37.5,6.056733630952381
49,0.375,37.5,37.5,5.933126822157434
50,0.375,37.5,37.5,5.814464285714286
