accuracy,f1_score,recall,precision,k,modelo_ML
0.6394110075702115,0.6047213921873641,0.6394110075702115,0.8108332330006562,10,MLP
0.5289077766897003,0.44397015566464126,0.5289077766897003,0.719192158968492,10,Decision Tree
0.5339753895309451,0.44394998553606535,0.5339753895309451,0.7786248134904403,10,Random Forest
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,10,KNN
0.7755286607276657,0.7538036793758209,0.7755286607276657,0.7755732589587736,10,Gaussian NB
0.6187105864344671,0.5818913913341679,0.6187105864344671,0.8051927079928309,11,MLP
0.5284778088053378,0.44253973810184755,0.5284778088053378,0.7186817931064247,11,Decision Tree
0.5364938019581469,0.44846634240859495,0.5364938019581469,0.7824736195664355,11,Random Forest
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,11,KNN
0.7755286607276657,0.7538036793758209,0.7755286607276657,0.7755732589587736,11,Gaussian NB
0.5973955675862808,0.557023983856957,0.5973955675862808,0.8072641783341743,12,MLP
0.5282321085596375,0.4422811979231708,0.5282321085596375,0.7191017855621136,12,Decision Tree
0.5347739209886805,0.4455537262134842,0.5347739209886805,0.7765120851298577,12,Random Forest
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,12,KNN
0.7755286607276657,0.7538036793758209,0.7755286607276657,0.7755732589587736,12,Gaussian NB
0.6226107590328154,0.5907375573258283,0.6226107590328154,0.8075689231780954,13,MLP
0.5287542215817506,0.4428936229698112,0.5287542215817506,0.7208593211023744,13,Decision Tree
0.5351424392883762,0.44601894344762083,0.5351424392883762,0.7828184518604517,13,Random Forest
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,13,KNN
0.7755286607276657,0.7538036793758209,0.7755286607276657,0.7755732589587736,13,Gaussian NB
0.6119847610311955,0.5706154341400129,0.6119847610311955,0.8009477833846135,14,MLP
0.5279556920104184,0.44170028598910244,0.5279556920104184,0.7192390615122064,14,Decision Tree
0.5341596703744299,0.4439466113029346,0.5341596703744299,0.779678851036057,14,Random Forest
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,14,KNN
0.7755286607276657,0.7538036793758209,0.7755286607276657,0.7755732589587736,14,Gaussian NB
0.6111553472664584,0.57051089266485,0.6111553472664584,0.8080922015363527,15,MLP
0.5293377521196758,0.4449339451836721,0.5293377521196758,0.7189703127660838,15,Decision Tree
0.5342518079665675,0.4442405775746738,0.5342518079665675,0.7771420169901635,15,Random Forest
0.6912229751989287,0.6773111965667084,0.6912229751989287,0.7668351185293079,15,KNN
0.7755286607276657,0.7538036793758209,0.7755286607276657,0.7755732589587736,15,Gaussian NB
0.6458605843141498,0.6140673166391841,0.6458605843141498,0.8073093868167849,16,MLP
0.5307198197745462,0.44332586244194827,0.5307198197745462,0.7380376473052114,16,Decision Tree
0.5332690050973633,0.4424022491013849,0.5332690050973633,0.7762536758960645,16,Random Forest
0.6903937557337225,0.675563718540185,0.6903937557337225,0.7697020949491292,16,KNN
0.7697547464545806,0.7480100544652832,0.7697547464545806,0.7713360460244363,16,Gaussian NB
0.6377832868297213,0.6049878386857661,0.6377832868297213,0.7930346620513578,17,MLP
0.5368009121740465,0.4599114021320534,0.5368009121740465,0.712180823558636,17,Decision Tree
0.5335761021084404,0.4427325605874878,0.5335761021084404,0.7841230283547426,17,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,17,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,17,Gaussian NB
0.6261431565743341,0.5923708525149661,0.6261431565743341,0.7897287428464768,18,MLP
0.5369237604104934,0.45997317559035134,0.5369237604104934,0.7136209792548223,18,Decision Tree
0.534006069992803,0.443963452732415,0.534006069992803,0.7813127465176808,18,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,18,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,18,Gaussian NB
0.6383358973325806,0.6098990971479934,0.6383358973325806,0.7896099902889655,19,MLP
0.5360331026790397,0.45859266855318326,0.5360331026790397,0.7105970182317949,19,Decision Tree
0.5369851515166606,0.44950417722996083,0.5369851515166606,0.7859939949894383,19,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,19,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,19,Gaussian NB
0.5788452216727507,0.5233254917984097,0.5788452216727507,0.8323391025981624,2,MLP
0.520984036199625,0.42346119085104295,0.520984036199625,0.7437731072408753,2,Decision Tree
0.5146572303496018,0.4044737959507847,0.5146572303496018,0.8111632926539545,2,Random Forest
0.7200921485332763,0.7077332750558779,0.7200921485332763,0.8013970937157093,2,KNN
0.6602336789525844,0.6400194086911383,0.6602336789525844,0.8076492245038092,2,Gaussian NB
0.645952886023367,0.6139301074307549,0.645952886023367,0.7903600475848164,20,MLP
0.5370158923434214,0.460359277310488,0.5370158923434214,0.7132628399493735,20,Decision Tree
0.5340367749779027,0.44387426067232943,0.5340367749779027,0.784546924911021,20,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,20,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,20,Gaussian NB
0.6414378101152562,0.6142898827414109,0.6414378101152562,0.7911462376757386,21,MLP
0.5368623372354715,0.4600810874805016,0.5368623372354715,0.7119897790126506,21,Decision Tree
0.536002256213699,0.44832601540202555,0.536002256213699,0.7912280928118391,21,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,21,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,21,Gaussian NB
0.6364627479884528,0.6030350642055258,0.6364627479884528,0.7829357712576652,22,MLP
0.5368623372354715,0.46013092921179555,0.5368623372354715,0.7119136386979892,22,Decision Tree
0.5372923070062373,0.4500752740757026,0.5372923070062373,0.780598725170512,22,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,22,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,22,Gaussian NB
0.6329608743373254,0.6070594234978507,0.6329608743373254,0.7946383512481483,23,MLP
0.5373230157641434,0.4608643526106112,0.5373230157641434,0.7140915954171176,23,Decision Tree
0.53133401945591,0.4397324247467035,0.53133401945591,0.7816505157943878,23,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,23,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,23,Gaussian NB
0.6576542960871319,0.6268157699782804,0.6576542960871319,0.8029671559943985,24,MLP
0.5365551987235238,0.4593745422951617,0.5365551987235238,0.7153419386348683,24,Decision Tree
0.5361252232935483,0.4476012864780547,0.5361252232935483,0.788031496517597,24,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,24,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,24,Gaussian NB
0.630842100203626,0.5992524056246872,0.630842100203626,0.7914565283792742,25,MLP
0.5366473476340806,0.4595716160127713,0.5366473476340806,0.7129032826260355,25,Decision Tree
0.535203843599366,0.44586952136389724,0.535203843599366,0.7868098387952664,25,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,25,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,25,Gaussian NB
0.6378438950785551,0.6168725203675529,0.6378438950785551,0.794107426343065,26,MLP
0.537261586929912,0.46083272915021506,0.537261586929912,0.7146218925179404,26,Decision Tree
0.5370772796767822,0.4494052467409367,0.5370772796767822,0.7890493542995858,26,Random Forest
0.68213195481023,0.6644271089439032,0.68213195481023,0.7839460069171633,26,KNN
0.7543983792325417,0.7337848455140812,0.7543983792325417,0.7603106708868221,26,Gaussian NB
