accuracy,f1_score,recall,precision,k,modelo_ML
0.8431867190573659,0.8345714601296508,0.8431867190573659,0.8350514153647087,10,MLP
0.8010810316573169,0.8010153144680912,0.8010810316573169,0.8009512098071894,10,Decision Tree
0.8230398535124903,0.8200075492429381,0.8230398535124903,0.8179674123641887,10,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,10,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,10,Gaussian NB
0.8416511453410292,0.8328113563357951,0.8416511453410292,0.8332313117062016,11,MLP
0.8014188826999773,0.8013668220579456,0.8014188826999773,0.8013158253547215,11,Decision Tree
0.8235619703074097,0.8203105915554367,0.8235619703074097,0.8182008370899242,11,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,11,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,11,Gaussian NB
0.8393477300608312,0.8345270290363529,0.8393477300608312,0.8328674531696474,12,MLP
0.8019717007071899,0.801919892037966,0.8019717007071899,0.8018694754962994,12,Decision Tree
0.8234084491547178,0.8201062714567201,0.8234084491547178,0.8179849198781755,12,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,12,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,12,Gaussian NB
0.841651169864271,0.8323783577643198,0.841651169864271,0.8332567890139244,13,MLP
0.8014495631618351,0.8013327033201761,0.8014495631618351,0.8012175712568997,13,Decision Tree
0.8227327621606229,0.8195057764662615,0.8227327621606229,0.817390127281574,13,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,13,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,13,Gaussian NB
0.8397470797346419,0.8351154726138647,0.8397470797346419,0.8335349798456703,14,MLP
0.8016031559978491,0.8013861107485298,0.8016031559978491,0.8011733665442841,14,Decision Tree
0.8230398629445064,0.8199808236729667,0.8230398629445064,0.8179343568336446,14,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,14,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,14,Gaussian NB
0.843370967831996,0.8348438638919216,0.843370967831996,0.8356646500288539,15,MLP
0.8015724359215238,0.8014810730622941,0.8015724359215238,0.8013923048759228,15,Decision Tree
0.8232241211511526,0.8200153970613814,0.8232241211511526,0.8179173227144256,15,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,15,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,15,Gaussian NB
0.8427260046870328,0.8342130878548437,0.8427260046870328,0.8346410809020153,16,MLP
0.8017259665062318,0.8016136270071232,0.8017259665062318,0.8015031156907437,16,Decision Tree
0.824022633744856,0.8206847769031036,0.824022633744856,0.8185526166314125,16,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,16,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,16,Gaussian NB
0.8423267832886406,0.8349749846012393,0.8423267832886406,0.8343679996581046,17,MLP
0.8010195915046661,0.8009285744436585,0.8010195915046661,0.8008383873477383,17,Decision Tree
0.8223027905034539,0.8192939757512969,0.8223027905034539,0.8172538541812112,17,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,17,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,17,Gaussian NB
0.8415897221660074,0.8321499065514224,0.8415897221660074,0.8333102420153102,18,MLP
0.8012960420091432,0.8013220118806399,0.8012960420091432,0.801348373285879,18,Decision Tree
0.8235619589889905,0.8203910632350909,0.8235619589889905,0.8183124023667854,18,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,18,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,18,Gaussian NB
0.8422038916649198,0.8351310608389484,0.8422038916649198,0.8347276167949856,19,MLP
0.801449561275432,0.8014616886595989,0.801449561275432,0.8014750640816046,19,Decision Tree
0.8236540796034992,0.8205340342167348,0.8236540796034992,0.8184708347098235,19,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,19,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,19,Gaussian NB
0.8413132339334661,0.8328453497634536,0.8413132339334661,0.8330485810579827,2,MLP
0.8018181493720465,0.8016667287539914,0.8018181493720465,0.8015176755255163,2,Decision Tree
0.8231012785739154,0.8198996180434076,0.8231012785739154,0.8178008202145118,2,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,2,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,2,Gaussian NB
0.8417125006055355,0.8320825079393439,0.8417125006055355,0.8335006100152027,20,MLP
0.8020945508300401,0.8019127335680236,0.8020945508300401,0.8017361272748517,20,Decision Tree
0.8229170203672691,0.8197123207085708,0.8229170203672691,0.8176092551234826,20,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,20,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,20,Gaussian NB
0.8444151561481579,0.8360441487382945,0.8444151561481579,0.8365245881354736,21,MLP
0.8021252369511076,0.8019466825611558,0.8021252369511076,0.8017747416458461,21,Decision Tree
0.8224563663618389,0.819499766106299,0.8224563663618389,0.8174831537381826,21,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,21,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,21,Gaussian NB
